bins,count
"(1.0, 2.0]",83
"(2.0, 3.0]",11983
"(3.0, 6.0]",2961593
"(6.0, 11.0]",3105843
"(11.0, 21.0]",2037650
"(21.0, 31.0]",722550
"(31.0, 41.0]",343966
"(41.0, 50.0]",173971
"(50.0, inf]",414221
